标题,售价,单价,小区,区域,户型,面积,朝向,装修,楼层,楼层类型,楼层数,建筑结构,年份,详情页,面积数值,楼层数值,房间数,厅数,每房间价格,每平米房间数,是否南北通透,楼层类型编码,装修编码,cluster
南城印象 3室2厅 南,82.0,9076,南城印象 ,喜盈门,3室2厅,90.35平米,南,精装,中楼层(共32层),中,32,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104116309614.html,90.35,32.0,3.0,2.0,27.333333333333332,0.03320420586607637,0,1.0,2,1
一线江景湖景房 精装修 采光好,118.0,12139,嘉湘华庭 ,滨江新城,3室2厅,97.21平米,南,其他,31层,3,31,塔楼,2017年,https://cs.lianjia.com/ershoufang/104116196200.html,97.21,31.0,3.0,2.0,39.333333333333336,0.030861022528546448,0,,1,1
居家装修  楼层好采光好 户型周正,40.0,4451,明天一城 ,泉塘,2室1厅,89.88平米,东 南,精装,低楼层(共28层),低,28,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104116386708.html,89.88,28.0,2.0,1.0,20.0,0.022251891410769917,0,0.0,2,0
业主诚心出售，拎包入住，小区配套成熟,56.8,11411,北辰三角洲奥城E3区 ,北辰三角洲,1室1厅,49.78平米,东北,其他,低楼层(共48层),低,48,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104116354277.html,49.78,48.0,1.0,1.0,56.8,0.020088388911209322,0,0.0,1,0
银晟花园 3室2厅 南,69.8,4848,银晟花园 ,河西人人乐,3室2厅,144平米,南,简装,高楼层(共7层),高,7,板塔结合,2003年,https://cs.lianjia.com/ershoufang/104116343900.html,144.0,7.0,3.0,2.0,23.266666666666666,0.020833333333333332,0,2.0,1,1
且主干道金星路，银杉路，月亮岛路等等，四通八达,102.0,9914,时代倾城 ,金星北,4室1厅,102.89平米,东南,其他,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116357174.html,102.89,34.0,4.0,1.0,25.5,0.0388764700165225,0,1.0,1,1
北辰经典三房，户型周正，万科物业。,165.0,11821,北辰三角洲奥城E4区 ,北辰三角洲,4室1厅,139.59平米,南 北,精装,高楼层(共30层),高,30,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104111078139.html,139.59,30.0,4.0,1.0,41.25,0.028655347804283974,1,2.0,2,4
金茂大社区，精装三房，靠河边，无遮挡,156.0,14827,金茂悦 ,梅溪湖北岸,3室2厅,105.22平米,南,精装,低楼层(共33层),低,33,塔楼,2016年,https://cs.lianjia.com/ershoufang/104111490783.html,105.22,33.0,3.0,2.0,52.0,0.028511689792815053,0,0.0,2,3
交通便利，出行方便，配套设施完善，采光通风良好,35.0,3062,中南汽车世界 ,中南汽车世界,3室2厅,114.31平米,南 北,精装,高楼层(共6层),高,6,板楼,2004年,https://cs.lianjia.com/ershoufang/104113476254.html,114.31,6.0,3.0,2.0,11.666666666666666,0.026244423060099727,1,2.0,2,4
湘江边 浏阳河 居家两房 带大阳台 恒大御景半岛,69.0,8231,恒大御景半岛湘江苑 ,开福区政府,2室2厅,83.83平米,西南,精装,低楼层(共32层),低,32,塔楼,2018年,https://cs.lianjia.com/ershoufang/104112998692.html,83.83,32.0,2.0,2.0,34.5,0.023857807467493736,0,0.0,2,3
此房户型好南北对流格局好，楼层好,100.0,6782,金峰小区南院 ,市政府,3室1厅,147.47平米,南,简装,中楼层(共6层),中,6,板楼,2006年,https://cs.lianjia.com/ershoufang/104112516523.html,147.47,6.0,3.0,1.0,33.333333333333336,0.020343120634705364,0,1.0,1,3
双地铁次新小区边户采光近湘雅二医院地质嘉熙旁,260.0,16066,地泰御璟苑 ,东塘,4室2厅,161.84平米,南 西 北,简装,中楼层(共32层),中,32,塔楼,2014年,https://cs.lianjia.com/ershoufang/104113735811.html,161.84,32.0,4.0,2.0,65.0,0.024715768660405337,0,1.0,1,2
万家丽旁三地铁口拎包入住一居室,20.0,6008,汇都公寓 ,尚东,1室1厅,33.29平米,西,其他,33层,3,33,塔楼,2010年,https://cs.lianjia.com/ershoufang/104111480603.html,33.29,33.0,1.0,1.0,20.0,0.030039050765995796,0,,1,0
店长推荐：兴邦花城小区精装4房拎包入住，楼层视野佳,66.8,4833,兴邦花城居住小区 ,望城区,4室2厅,138.24平米,南,精装,高楼层(共22层) ,高,22,塔楼,unknown,https://cs.lianjia.com/ershoufang/104111622102.html,138.24,22.0,4.0,2.0,16.7,0.028935185185185182,0,2.0,2,1
梅溪湖地铁100米  居家装修  高楼层视野好看一线湖景,180.0,14193,中建梅溪湖中心 ,梅溪湖北岸,4室2厅,126.83平米,南,精装,低楼层(共46层),低,46,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104109705955.html,126.83,46.0,4.0,2.0,45.0,0.03153827958684854,0,0.0,2,3
和馨园一期在售房源，之前自住2房，户型好,62.0,7526,和馨园 ,东方红,2室2厅,82.39平米,南,其他,中楼层(共17层),中,17,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104115047992.html,82.39,17.0,2.0,2.0,31.0,0.024274790629930817,0,1.0,1,3
开元路地铁口、视野开阔，采光充足， 户型周正,66.8,7762,华润置地广场一期 ,开元路,3室2厅,86.07平米,南,其他,高楼层(共34层),高,34,塔楼,2015年,https://cs.lianjia.com/ershoufang/104114965807.html,86.07,34.0,3.0,2.0,22.266666666666666,0.03485535029627048,0,2.0,1,1
出价就谈大四房精装 房龄新 环境好 全明户型 实用性高,85.0,6345,长房星珑湾 ,望城区,4室2厅,133.98平米,南,精装,高楼层(共32层) ,高,32,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115256156.html,133.98,32.0,4.0,2.0,21.25,0.029855202268995375,0,2.0,2,1
毛竹塘地铁口 小三房  简装拎包入住 安静宜居,62.0,8038,卓越蔚蓝城邦 ,德思勤,3室2厅,77.14平米,南,精装,低楼层(共27层),低,27,塔楼,2017年,https://cs.lianjia.com/ershoufang/104115470900.html,77.14,27.0,3.0,2.0,20.666666666666668,0.0388903292714545,0,0.0,2,3
山景就在眼前，龙湖园林，一步一景,226.0,15835,龙湖·舜山府 ,河西人人乐,4室2厅,142.73平米,南,精装,高楼层(共18层) ,高,18,板楼,unknown,https://cs.lianjia.com/ershoufang/104115435326.html,142.73,18.0,4.0,2.0,56.5,0.028024942198556717,0,2.0,2,1
满五唯一 个税全免 高楼层 视野开阔,249.8,17261,世茂外滩里 ,滨江新城,4室1厅,144.72平米,南,简装,高楼层(共48层),高,48,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115204431.html,144.72,48.0,4.0,1.0,62.45,0.027639579878385848,0,2.0,1,1
梅溪湖东地铁口 三室两卫 出行方便 近博才北校区,72.88,7321,航发锦绣家园 ,梅溪湖北岸,3室2厅,99.56平米,南,简装,高楼层(共6层),高,6,板楼,2003年,https://cs.lianjia.com/ershoufang/104115527738.html,99.56,6.0,3.0,2.0,24.293333333333333,0.03013258336681398,0,2.0,1,1
麓谷科技园 地铁口 带入户三房 看山体公园 花园中间,87.8,10253,保利麓谷林语E区 ,麓谷西,3室1厅,85.64平米,南,其他,高楼层(共33层),高,33,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115770724.html,85.64,33.0,3.0,1.0,29.266666666666666,0.03503035964502569,0,2.0,1,0
高铁西板块，次新小区，普瑞大道旁，精装三房,69.8,6664,澳海望洲府 ,望城区,3室2厅,104.75平米,南,精装,高楼层(共34层) ,高,34,板楼,unknown,https://cs.lianjia.com/ershoufang/104115849072.html,104.75,34.0,3.0,2.0,23.266666666666666,0.028639618138424822,0,2.0,2,1
三一街区 3室2厅 南,62.0,5364,三一街区 ,万家丽北,3室2厅,115.6平米,南,其他,低楼层(共31层),低,31,板塔结合,2012年,https://cs.lianjia.com/ershoufang/104115670156.html,115.6,31.0,3.0,2.0,20.666666666666668,0.025951557093425608,0,0.0,1,3
麓谷中电园 近城轨 拎包入住 适合刚需,54.0,6178,麓谷小镇 ,麓谷西,3室2厅,87.42平米,西南,精装,低楼层(共33层) ,低,33,板楼,unknown,https://cs.lianjia.com/ershoufang/104114756913.html,87.42,33.0,3.0,2.0,18.0,0.03431708991077557,0,0.0,2,3
万科魅力之城 小三房 自住精装 拎包入住 提前预约可看,78.0,8784,万科魅力之城 ,武广新城,3室2厅,88.8平米,南 北,毛坯,16层,1,16,板楼,2015年,https://cs.lianjia.com/ershoufang/104114467856.html,88.8,16.0,3.0,2.0,26.0,0.033783783783783786,1,,0,2
简装两房 价格实在 直接可以拎包入住,29.9,4272,晟通城 ,望城区,2室2厅,70平米,南 北,其他,低楼层(共18层),低,18,板楼,2014年,https://cs.lianjia.com/ershoufang/104114623412.html,70.0,18.0,2.0,2.0,14.95,0.02857142857142857,1,0.0,1,4
云顶小高层 清水毛坯3房2卫视野开阔,128.0,11311,佳兆业云顶梅溪湖 ,梅溪湖南岸,3室1厅,113.17平米,南,毛坯,高楼层(共27层),高,27,塔楼,2014年,https://cs.lianjia.com/ershoufang/104115905424.html,113.17,27.0,3.0,1.0,42.666666666666664,0.02650879208270743,0,2.0,0,2
楼层好，视野好，采光好，户型周正，南北通透,46.8,3411,高域自然城一期 ,望城区,3室2厅,137.21平米,南 北,其他,中楼层(共29层) ,中,29,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114182708.html,137.21,29.0,3.0,2.0,15.6,0.02186429560527658,1,1.0,1,4
新远时代精装一房，中高楼层，拎包入住，价格可谈,16.8,4121,新远时代 ,泉塘,1室1厅,40.77平米,东南,精装,高楼层(共15层),高,15,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104115706352.html,40.77,15.0,1.0,1.0,16.8,0.02452783909737552,0,2.0,2,0
次新小区 地铁口 居家装修  诚心卖,65.0,6755,荣盛花语城 ,万家丽北,3室2厅,96.23平米,南,其他,高楼层(共34层),高,34,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115370200.html,96.23,34.0,3.0,2.0,21.666666666666668,0.03117530915514912,0,2.0,1,1
大五房，舒适，中间楼层视野好，临圭塘公园，不临高价,115.0,7112,山水熙园 ,喜盈门,4室2厅,161.71平米,南,精装,中楼层(共32层) ,中,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115445019.html,161.71,32.0,4.0,2.0,28.75,0.02473563787026158,0,1.0,2,1
夏威夷新到大三房 单价便宜 看房方便 精装修拎包入住,108.0,8776,碧水春城 ,德思勤,3室2厅,123.07平米,南 北,精装,中楼层(共17层),中,17,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115009920.html,123.07,17.0,3.0,2.0,36.0,0.024376371170878364,1,1.0,2,4
次新小区+中间楼层+近尖山湖公园+看房方便,108.0,9109,保利恒伟时光印象 ,麓谷西,4室2厅,118.57平米,南,精装,低楼层(共27层) ,低,27,板楼,unknown,https://cs.lianjia.com/ershoufang/104114315989.html,118.57,27.0,4.0,2.0,27.0,0.03373534620899047,0,0.0,2,3
九成新 福泽园精装三房南北通透 采光视野佳随时看房,102.8,10815,福泽园 ,四方坪,3室2厅,95.06平米,南 北,精装,高楼层(共31层),高,31,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115685122.html,95.06,31.0,3.0,2.0,34.266666666666666,0.031559015358720806,1,2.0,2,4
视野开阔带燃气民水明电的两居室有小区环境优美,31.8,6288,长房半岛蓝湾一期 ,万家丽南路,2室2厅,50.58平米,北,简装,中楼层(共31层),中,31,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115918280.html,50.58,31.0,2.0,2.0,15.9,0.039541320680110716,0,1.0,1,1
中航山水蓝天 毛坯现房 低公摊 随时看房 楼层好,42.8,4198,中航山水蓝天 ,望城区,3室2厅,101.97平米,南,毛坯,低楼层(共33层),低,33,板楼,2015年,https://cs.lianjia.com/ershoufang/104116135250.html,101.97,33.0,3.0,2.0,14.266666666666666,0.029420417769932334,0,0.0,0,2
原木简约风 自住精装 开窗见绿,155.0,12011,格林星城 ,金星中路,3室2厅,129.05平米,南,精装,低楼层(共18层),低,18,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104116368690.html,129.05,18.0,3.0,2.0,51.666666666666664,0.023246803564509876,0,0.0,2,3
广泰锦苑 次新小区 98平三房 毛坯 随时看房,75.0,7626,广泰锦苑 ,河西人人乐,3室2厅,98.36平米,南,毛坯,高楼层(共34层),高,34,塔楼,2016年,https://cs.lianjia.com/ershoufang/104113389154.html,98.36,34.0,3.0,2.0,25.0,0.030500203334688898,0,2.0,0,2
河西步步高精致一房 地铁口 交通便利 配套齐全,39.0,8667,沁园春御院 ,河西步步高,1室1厅,45平米,东,其他,低楼层(共30层),低,30,塔楼,2011年,https://cs.lianjia.com/ershoufang/104110484694.html,45.0,30.0,1.0,1.0,39.0,0.022222222222222223,0,0.0,1,0
雄新华府精装大三房 南北通透 业主急卖，诚购好谈,80.0,6642,雄新水印廊桥 ,福元西路,3室2厅,120.46平米,南 北,精装,高楼层(共34层) ,高,34,塔楼,unknown,https://cs.lianjia.com/ershoufang/104108517248.html,120.46,34.0,3.0,2.0,26.666666666666668,0.02490453262493774,1,2.0,2,4
9.9成新，楼层好视野 视野开阔，价格合适可签约！,151.8,10969,北京御园 ,市政府,3室2厅,138.4平米,南,精装,高楼层(共27层),高,27,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104114058409.html,138.4,27.0,3.0,2.0,50.6,0.02167630057803468,0,2.0,2,1
价格优惠  看房方便  交通便利,29.8,6993,天健芙蓉盛世 ,伍家岭,1室0厅,42.62平米,南,精装,高楼层(共31层) ,高,31,板楼,unknown,https://cs.lianjia.com/ershoufang/104113471461.html,42.62,31.0,1.0,0.0,29.8,0.02346316283435007,0,2.0,2,0
鑫远翡丽郡南北通透三房有钥匙随时可以看房 诚心出售,175.0,13778,鑫远香缇雅苑 ,德思勤,3室2厅,127.02平米,南 北,毛坯,中楼层(共13层) ,中,13,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113915478.html,127.02,13.0,3.0,2.0,58.333333333333336,0.023618327822390175,1,1.0,0,2
2号线地铁口  次新房  视野无遮挡 诚心出售 随时看房,65.0,7724,通号岭绣苑 ,麓谷西,3室2厅,84.16平米,南,毛坯,高楼层(共28层) ,高,28,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113742652.html,84.16,28.0,3.0,2.0,21.666666666666668,0.03564638783269962,0,2.0,0,2
高铁西板块，次新小区，普瑞大道旁，3房2厅1厨2卫,52.8,4827,澳海望洲府 ,望城区,3室2厅,109.4平米,南,毛坯,高楼层(共34层) ,高,34,板楼,unknown,https://cs.lianjia.com/ershoufang/104113508838.html,109.4,34.0,3.0,2.0,17.599999999999998,0.027422303473491772,0,2.0,0,2
地铁3号线烈士公园东 泰时新雅园电梯三房诚心出售,105.0,7190,泰时新雅园 ,晚报,3室2厅,146.05平米,南,简装,中楼层(共8层),中,8,板楼,2001年,https://cs.lianjia.com/ershoufang/104112634151.html,146.05,8.0,3.0,2.0,35.0,0.020540910647038682,0,1.0,1,3
次新小区，毛坯两房带露台，业主已封窗铺地板,78.0,9283,中央美郡 ,金星中路,2室1厅,84.03平米,南,毛坯,低楼层(共23层) ,低,23,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113054140.html,84.03,23.0,2.0,1.0,39.0,0.02380102344400809,0,0.0,0,0
"怡海星城,通透户型，周正大三房，诚心出售",59.8,5199,怡海星城 ,暮云,3室2厅,115.03平米,东南,精装,低楼层(共18层),低,18,塔楼,2010年,https://cs.lianjia.com/ershoufang/104114764281.html,115.03,18.0,3.0,2.0,19.933333333333334,0.026080153003564286,0,0.0,2,3
万科金域国际4期 一线江景 双地铁 高层精装 满五唯一,308.0,21986,万科里金域国际 ,滨江新城,4室2厅,140.09平米,南,精装,高楼层(共39层) ,高,39,板楼,unknown,https://cs.lianjia.com/ershoufang/104114907701.html,140.09,39.0,4.0,2.0,77.0,0.02855307302448426,0,2.0,2,1
梅溪悦章 次新小区 正地铁口 中高楼层 采光好,139.8,13053,梅溪悦章 ,东方红,3室2厅,107.11平米,南,精装,高楼层(共47层) ,高,47,板楼,unknown,https://cs.lianjia.com/ershoufang/104114772986.html,107.11,47.0,3.0,2.0,46.6,0.028008589300718888,0,2.0,2,1
2023年交房，电梯中间楼层，不临岳麓大道，价格好谈,108.8,10606,长房云尚公馆 ,麓谷西,3室2厅,102.59平米,南,精装,中楼层(共33层) ,中,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114981484.html,102.59,33.0,3.0,2.0,36.266666666666666,0.02924261623939955,0,1.0,2,1
中国铁建国际城三房，拎包入住新装修家具家电随时看房,55.8,6570,中国铁建国际城 ,泉塘,3室2厅,84.94平米,南,精装,高楼层(共33层),高,33,板塔结合,2011年,https://cs.lianjia.com/ershoufang/104115222257.html,84.94,33.0,3.0,2.0,18.599999999999998,0.03531904874028726,0,2.0,2,1
品质小区，品质物业，中间楼层，采光很好,210.0,14701,牡丹舸 ,梅溪湖北岸,3室2厅,142.85平米,南,毛坯,低楼层(共43层),低,43,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115717242.html,142.85,43.0,3.0,2.0,70.0,0.021001050052502628,0,0.0,0,2
东方航标 2室1厅 南,48.8,6148,东方航标 ,开元路,2室1厅,79.38平米,南,其他,中楼层(共34层),中,34,平房,2014年,https://cs.lianjia.com/ershoufang/104116031771.html,79.38,34.0,2.0,1.0,24.4,0.025195263290501386,0,1.0,1,0
中建梅溪湖中心 3室2厅 南,136.8,13084,中建梅溪湖中心 ,梅溪湖北岸,3室2厅,104.56平米,南,精装,低楼层(共46层),低,46,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115860764.html,104.56,46.0,3.0,2.0,45.6,0.028691660290742157,0,0.0,2,3
浏阳河畔 品质楼盘 精装修 带入户花园,155.0,12847,湘域熙岸 ,尚东,3室2厅,120.66平米,南,精装,31层,3,31,板塔结合,2012年,https://cs.lianjia.com/ershoufang/104115870661.html,120.66,31.0,3.0,2.0,51.666666666666664,0.02486325211337643,0,,2,1
5号线口全房装修带地暖全屋品牌家具,74.8,7021,荣盛花语城 ,万家丽北,3室1厅,106.55平米,南,精装,低楼层(共34层),低,34,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115395597.html,106.55,34.0,3.0,1.0,24.933333333333334,0.028155795401220086,0,0.0,2,3
梅溪湖二期次新小区招商华发依云曦城,152.0,11773,招商华发依云曦城 ,岳麓其他,4室2厅,129.11平米,南,精装,低楼层(共16层) ,低,16,板楼,unknown,https://cs.lianjia.com/ershoufang/104116244873.html,129.11,16.0,4.0,2.0,38.0,0.03098133374641778,0,0.0,2,3
房子自住装修，近地铁，周正小两房,55.0,9694,恒大雅苑 ,广电,2室2厅,56.74平米,东,精装,低楼层(共33层),低,33,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104114801616.html,56.74,33.0,2.0,2.0,27.5,0.035248501938667604,0,0.0,2,3
万家丽锦泰广场旁，地铁2号线700米，轻轨600米,36.8,5738,湘聚大厦 ,火车站,2室1厅,64.14平米,西,精装,25层,2,25,板塔结合,2008年,https://cs.lianjia.com/ershoufang/104116045832.html,64.14,25.0,2.0,1.0,18.4,0.031181789834736514,0,,2,0
出门地铁口，开发商精空，带厨卫及全房空调,121.0,9308,万润·滨江天著 ,金星北,4室2厅,130平米,南,精装,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114324950.html,130.0,34.0,4.0,2.0,30.25,0.03076923076923077,0,1.0,2,1
麓山长郡可用，钰龙一期2房，到价即售,215.0,27621,钰龙天下佳园 ,观沙岭,2室2厅,77.84平米,南,精装,中楼层(共33层),中,33,平房,2011年,https://cs.lianjia.com/ershoufang/104111792871.html,77.84,33.0,2.0,2.0,107.5,0.025693730729701953,0,1.0,2,1
月亮岛 龙湖天街 越秀二期  已搭板,102.8,9188,越秀湘江星汇城 ,金星北,3室2厅,111.89平米,南,毛坯,低楼层(共31层) ,低,31,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115287614.html,111.89,31.0,3.0,2.0,34.266666666666666,0.02681204754669765,0,0.0,0,2
砂子塘地铁口   单位小区   低楼层,57.0,7753,化工医药设计院宿舍 ,雨花亭,3室1厅,73.52平米,南,毛坯,低楼层(共6层),低,6,板楼,2009年,https://cs.lianjia.com/ershoufang/104116305239.html,73.52,6.0,3.0,1.0,19.0,0.040805223068552776,0,0.0,0,0
总层高30层，看小区园林，采光充足，满五唯一,130.0,12122,北辰三角洲奥城E4区 ,北辰三角洲,3室1厅,107.25平米,南,其他,低楼层(共45层) ,低,45,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116374009.html,107.25,45.0,3.0,1.0,43.333333333333336,0.027972027972027972,0,0.0,1,3
月亮岛品质标杆楼盘 小区新 近地铁 湘江边,208.8,13302,润和湘江天地 ,金星北,4室2厅,156.98平米,东南,精装,中楼层(共16层) ,中,16,板楼,unknown,https://cs.lianjia.com/ershoufang/104113781723.html,156.98,16.0,4.0,2.0,52.2,0.02548095298764174,0,1.0,2,3
次新现房，大三房户型，好楼层，楼间距宽,63.0,6363,永实蔷薇国际 ,含浦,3室2厅,99.01平米,南,毛坯,低楼层(共32层) ,低,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104111757982.html,99.01,32.0,3.0,2.0,21.0,0.030299969700030297,0,0.0,0,2
乔庄社区 一楼带院子 可以当门面房 迎宾路口双地铁,73.8,7868,乔庄社区 ,浏城桥,2室2厅,93.8平米,南 北,精装,低楼层(共6层) ,低,6,板楼,unknown,https://cs.lianjia.com/ershoufang/104114691408.html,93.8,6.0,2.0,2.0,36.9,0.021321961620469083,1,0.0,2,4
住视野好联诚国际装修大三房九成新拎包入,76.8,5630,联诚国际城 ,望城区,3室2厅,136.43平米,南 北,精装,中楼层(共33层) ,中,33,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116158492.html,136.43,33.0,3.0,2.0,25.599999999999998,0.021989298541376528,1,1.0,2,4
开发商精装修，南北通透双阳台，随时看房,208.8,14602,中海阅溪府 ,东方红,4室2厅,143平米,南 北,精装,高楼层(共32层) ,高,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104112897471.html,143.0,32.0,4.0,2.0,52.2,0.027972027972027972,1,2.0,2,4
户型优质，中间楼层，采光好，位置好。,126.0,11723,汇金城三期 ,德思勤,3室2厅,107.49平米,南,精装,中楼层(共31层) ,中,31,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114688266.html,107.49,31.0,3.0,2.0,42.0,0.027909572983533353,0,1.0,2,1
中间楼层 观澜里 视野宽阔满五唯一 砂子塘南雅双语,96.0,9908,万科魅力之城 ,武广新城,3室2厅,96.9平米,南,精装,34层 ,3,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114524154.html,96.9,34.0,3.0,2.0,32.0,0.03095975232198142,0,,2,1
此房户型好格局好一梯两户小高层视野开阔采光充足,75.8,5387,今利园 ,雨花亭,3室2厅,140.71平米,南,简装,高楼层(共12层),高,12,板塔结合,2004年,https://cs.lianjia.com/ershoufang/104115471474.html,140.71,12.0,3.0,2.0,25.266666666666666,0.021320446308009378,0,2.0,1,1
店长实名推荐好房 南北通透双阳台  可拎包入住 随时看,75.8,5962,三一街区 ,万家丽北,3室2厅,127.14平米,南 北,精装,低楼层(共32层),低,32,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104115701833.html,127.14,32.0,3.0,2.0,25.266666666666666,0.023596035865974516,1,0.0,2,4
急售 恒大名都居家两房 楼层好 采光好 带家具电器,48.0,5479,恒大名都 ,金星北,2室1厅,87.61平米,南,精装,高楼层(共18层) ,高,18,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114695946.html,87.61,18.0,2.0,1.0,24.0,0.02282844424152494,0,2.0,2,0
哈佛小镇 带30平米露台 3房  满五唯一,63.8,7028,五矿哈佛小镇 ,暮云,3室2厅,90.78平米,南,精装,低楼层(共15层) ,低,15,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114623695.html,90.78,15.0,3.0,2.0,21.266666666666666,0.03304692663582287,0,0.0,2,3
次新小区 楼层好视野开阔 采光充足  满五唯一,81.0,12563,合能璞丽 ,梅溪湖北岸,2室2厅,64.48平米,东,简装,中楼层(共31层),中,31,平房,2015年,https://cs.lianjia.com/ershoufang/104112716766.html,64.48,31.0,2.0,2.0,40.5,0.031017369727047144,0,1.0,1,1
精装自住小三房、视野好、师大双语旁，诚心出售！,113.8,11407,克拉美丽山庄二期 ,新开铺,3室2厅,99.77平米,南 北,其他,高楼层(共33层) ,高,33,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115771600.html,99.77,33.0,3.0,2.0,37.93333333333333,0.03006915906585146,1,2.0,1,4
万国城三期带地暖精装自住小三房，满五唯一业主诚心卖,82.0,9188,万国城MOMA三期 ,福元西路,3室2厅,89.25平米,南 北,精装,高楼层(共34层),高,34,板塔结合,2012年,https://cs.lianjia.com/ershoufang/104112098070.html,89.25,34.0,3.0,2.0,27.333333333333332,0.03361344537815126,1,2.0,2,4
喜盈门，泰禹，中雅，园林绿化好，南北通风好,90.0,10109,润和翰文府 ,万家丽南路,3室2厅,89.03平米,南,毛坯,中楼层(共27层) ,中,27,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115733643.html,89.03,27.0,3.0,2.0,30.0,0.033696506795462204,0,1.0,0,2
五矿央企品质 中间楼层 业主诚心出,52.8,5999,五矿紫湖香醍 ,暮云,3室2厅,88.02平米,南 北,毛坯,高楼层(共16层) ,高,16,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104109594792.html,88.02,16.0,3.0,2.0,17.599999999999998,0.03408316291751875,1,2.0,0,2
桔洲印象新上三居室 诚心出售 中间楼层 安静不沿街,82.0,8824,桔洲印象 ,东方红,3室2厅,92.93平米,南,简装,中楼层(共18层),中,18,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104116164587.html,92.93,18.0,3.0,2.0,27.333333333333332,0.032282363068976645,0,1.0,1,3
汇金国际1/4双地铁口，交通便利，产权清晰，出价就谈,95.0,12818,汇金国际 ,黄土岭,2室1厅,74.12平米,东南,简装,中楼层(共28层) ,中,28,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115949242.html,74.12,28.0,2.0,1.0,47.5,0.02698327037236913,0,1.0,1,0
万家丽广场居家好房楼层好南大阳台宽敞舒适,98.8,7071,东玺门 ,马王堆,3室2厅,139.74平米,南,简装,33层,3,33,板塔结合,2009年,https://cs.lianjia.com/ershoufang/104112956379.html,139.74,33.0,3.0,2.0,32.93333333333333,0.021468441391155002,0,,1,1
"央企中海阅麓山,绿化环境好，精装三房，近地铁和宜家",142.0,14348,中海阅麓山 ,洋湖垸,3室2厅,98.97平米,南,精装,中楼层(共24层) ,中,24,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113219857.html,98.97,24.0,3.0,2.0,47.333333333333336,0.03031221582297666,0,1.0,2,3
雨花亭三万英尺精装四房可拎包入住,148.0,11473,融科三万英尺 ,雨花亭,4室2厅,129平米,南,精装,低楼层(共32层),低,32,板塔结合,2006年,https://cs.lianjia.com/ershoufang/104115469452.html,129.0,32.0,4.0,2.0,37.0,0.031007751937984496,0,0.0,2,3
近地铁城铁，交通便利，业主诚心卖,50.0,7589,枫林美景 ,观沙岭,2室1厅,65.89平米,南 北,其他,中楼层(共6层),中,6,板楼,2006年,https://cs.lianjia.com/ershoufang/104114961587.html,65.89,6.0,2.0,1.0,25.0,0.030353619669145546,1,1.0,1,0
时代倾城2期地铁口 中间层 价格可谈密码看房诚心卖,104.0,8983,时代倾城 ,金星北,4室2厅,115.78平米,南 北,精装,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116079355.html,115.78,34.0,4.0,2.0,26.0,0.03454828122300915,1,1.0,2,4
